dateandtime,vehid,coord,gps_coord,spd,edge,lane,displacement,turn_angle,next_tls
2023-03-02 06:44:34.147,0,"[1090.939391987364, 367.88568508799455]","[114.31458650634997, 30.49979911179652]",0.0,231808124,231808124_0,0.0,324.38,()
2023-03-02 06:44:34.215,0,"[1089.6569674120767, 369.67539561716274]","[114.31457271352828, 30.499814969016935]",7.93,231808124,231808124_0,2.2,324.38,()
2023-03-02 06:44:34.216,0,"[1087.2016568954618, 373.1019480777462]","[114.31454630598964, 30.499845329004156]",15.18,231808124,231808124_0,6.42,324.38,()
2023-03-02 06:44:34.223,0,"[1083.2382392842708, 378.633166339569]","[114.31450367830985, 30.499894336766626]",24.5,231808124,231808124_0,13.22,324.38,()
2023-03-02 06:44:34.225,1,"[2295.7575261753236, 769.6591233832889]","[114.32702896840381, 30.503678653305776]",0.0,-268599172#3,-268599172#3_0,0.0,13.0,()
2023-03-02 06:44:34.227,0,"[1078.0072191924476, 385.93340989153717]","[114.31444741713923, 30.499959018441146]",32.33,231808124,231808124_0,22.2,324.38,()
2023-03-02 06:44:34.228,1,"[2296.318407602622, 772.0879037244923]","[114.32703420799803, 30.503700666293113]",8.97,-268599172#3,-268599172#3_0,2.49,13.0,()
2023-03-02 06:44:34.229,0,"[1071.61854061533, 394.78720011647545]","[114.31437872028158, 30.50003745528187]",39.3,231808124,231808124_0,33.12,324.09,()
2023-03-02 06:44:34.230,1,"[2297.298515036802, 776.332055077246]","[114.32704336388673, 30.50373913269846]",15.68,-268599172#3,-268599172#3_0,6.85,13.0,()
2023-03-02 06:44:34.233,0,"[1063.8654498718374, 405.49375177413367]","[114.31429536132428, 30.500132300007994]",47.59,231808124,231808124_0,46.34,324.09,()
2023-03-02 06:44:34.234,1,"[2298.852138935629, 783.0597001719824]","[114.32705787741781, 30.503800107979064]",24.86,-268599172#3,-268599172#3_0,13.75,13.0,()
2023-03-02 06:44:34.235,2,"[1367.9115473300972, 1133.2984860436893]","[114.3172801364706, 30.50675793722764]",0.0,267612556#7,267612556#7_0,0.0,271.56,()
2023-03-02 06:44:34.236,0,"[1055.85915121164, 416.5499683241581]","[114.31420927977648, 30.50023024219722]",49.14,231808124,231808124_0,59.99,324.09,()
2023-03-02 06:44:34.237,1,"[2300.903778522528, 791.9438986021125]","[114.32707704329913, 30.503880628944973]",32.83,-268599172#3,-268599172#3_0,22.87,13.0,()
2023-03-02 06:44:34.238,2,"[1365.2999555572774, 1130.1669784454093]","[114.31725372469504, 30.506729149908075]",9.08,267612556#7,267612556#7_1,2.52,271.56,()
2023-03-02 06:44:34.239,0,"[1047.715447848523, 427.79593249851547]","[114.31412172071, 30.500329865207387]",49.98,231808124,231808124_0,73.87,324.09,()
2023-03-02 06:44:34.240,1,"[2303.503394714367, 803.2009957248035]","[114.32710132827299, 30.50398265641739]",41.59,-268599172#3,-268599172#3_0,34.43,13.0,()
2023-03-02 06:44:34.242,2,"[1360.5634552319777, 1130.2956330065972]","[114.31720438490075, 30.506729294023543]",17.06,267612556#7,267612556#7_1,7.26,271.56,()
2023-03-02 06:44:34.245,0,"[1039.3807394271719, 439.3056631616852]","[114.31403210781617, 30.500431824734488]",51.16,231808124,231808124_0,88.08,324.09,()
2023-03-02 06:44:34.247,1,"[2306.3576506982026, 815.5585061187703]","[114.32712799263362, 30.504094657473185]",45.64,:2739341924_2,:2739341924_2_0,47.1,13.01,()
2023-03-02 06:44:34.248,2,"[1353.3132930346897, 1130.4925645746268]","[114.31712886046824, 30.506729514584915]",26.11,267612556#7,267612556#7_1,14.51,271.56,()
2023-03-02 06:44:34.250,3,"[2568.8894906382125, 2358.8436521038857]","[114.32948050173306, 30.518061989422137]",0.0,417713712,417713712_0,0.0,216.18,()
2023-03-02 06:44:34.252,0,"[1030.6437450147162, 451.1437054715634]","[114.31393822575083, 30.50053665723256]",52.97,231808124,231808124_0,102.8,323.47,()
2023-03-02 06:44:34.252,1,"[2309.1843267669497, 827.7995594913726]","[114.32715439866656, 30.504205602883385]",45.21,-268599172#2,-268599172#2_0,59.66,13.0,()
2023-03-02 06:44:34.254,2,"[1343.7242643033744, 1130.7530252943393]","[114.31702897223148, 30.506729806230922]",34.53,267612556#7,267612556#7_1,24.1,271.56,()
2023-03-02 06:44:34.255,3,"[2567.8773130611075, 2357.459675328097]","[114.32947030473022, 30.518049298064803]",6.17,417713712,417713712_0,1.71,216.18,()
2023-03-02 06:44:34.256,0,"[1022.615341072894, 461.9817895084517]","[114.31385196743909, 30.500632628153134]",48.55,231808124,231808124_0,116.28,323.47,()
2023-03-02 06:44:34.258,1,"[2311.986497481485, 839.9356934770965]","[114.32718057553048, 30.504315597305794]",44.83,-268599172#2,-268599172#2_0,72.11,13.0,()
2023-03-02 06:44:34.258,2,"[1331.8494116906181, 1131.0755744017267]","[114.31690527273601, 30.506730167292936]",42.76,267612556#7,267612556#7_1,35.98,271.56,()
2023-03-02 06:44:34.259,3,"[2565.570894776482, 2354.3060495084983]","[114.32944706913942, 30.518020378652054]",14.07,417713712,417713712_0,5.62,216.18,()
2023-03-02 06:44:34.263,0,"[1014.3831250148138, 473.09501326921867]","[114.31376351916181, 30.50073103535683]",49.79,231808124,231808124_0,130.11,323.47,()
2023-03-02 06:44:34.265,1,"[2314.740177081533, 851.8872001409657]","[114.32720629319387, 30.504423917124782]",44.16,:2739341922_2,:2739341922_2_0,84.38,12.94,()
2023-03-02 06:44:34.266,2,"[1319.3422386314764, 1131.4152988292817]","[114.31677498641247, 30.50673054745382]",45.04,267612556#7,267612556#7_1,48.49,271.56,()
